Date,米10年金利,米5年金利,米2年金利,ドル指数,VIX,S&P500,日経225,金,原油
2016-09-19,1.6959999799728394,1.2070000171661377,0.23800000548362732,95.83999633789062,15.529999732971191,2139.1201171875,,1313.5,43.29999923706055
2016-09-20,1.687999963760376,1.2000000476837158,0.2879999876022339,96.0199966430664,15.920000076293945,2139.760009765625,16492.150390625,1313.699951171875,43.439998626708984
2016-09-21,1.6679999828338623,1.2000000476837158,0.22300000488758087,95.66000366210938,13.300000190734863,2163.1201171875,16807.619140625,1326.9000244140625,45.34000015258789
2016-09-22,1.6319999694824219,1.1740000247955322,0.1599999964237213,95.44999694824219,12.020000457763672,2177.179931640625,,1340.4000244140625,46.31999969482422
2016-09-23,1.6150000095367432,1.152999997138977,0.16500000655651093,95.4800033569336,12.289999961853027,2164.68994140625,16754.01953125,1337.199951171875,44.47999954223633
2016-09-26,1.5889999866485596,1.1269999742507935,0.17299999296665192,95.30999755859375,14.5,2146.10009765625,16544.560546875,1339.699951171875,45.93000030517578
2016-09-27,1.555999994277954,1.1119999885559082,0.2549999952316284,95.44000244140625,13.100000381469727,2159.929931640625,16683.9296875,1325.9000244140625,44.66999816894531
2016-09-28,1.5670000314712524,1.1299999952316284,0.2630000114440918,95.43000030517578,12.390000343322754,2171.3701171875,16465.400390625,1319.4000244140625,47.04999923706055
2016-09-29,1.5570000410079956,1.1150000095367432,0.23499999940395355,95.54000091552734,14.020000457763672,2151.1298828125,16693.7109375,1321.699951171875,47.83000183105469
2016-09-30,1.6080000400543213,1.156000018119812,0.25999999046325684,95.45999908447266,13.289999961853027,2168.27001953125,16449.83984375,1313.300048828125,48.2400016784668
2016-10-03,1.621999979019165,1.1829999685287476,0.2879999876022339,95.75,13.569999694824219,2161.199951171875,16598.669921875,1309.0,48.810001373291016
2016-10-04,1.6829999685287476,1.2269999980926514,0.3149999976158142,96.12000274658203,13.630000114440918,2150.489990234375,16735.650390625,1266.300048828125,48.689998626708984
